ID_region,ID_subregion,ID_region_case_code,ID_subregion_case_code,ID_region_name,ID_subregion_name,ID_country_code,ID_country_name
4,12,994,982,Asia and the Pacific,South Asia,700,Afghanistan
6,16,996,986,Europe,East-Central Europe,339,Albania
1,5,991,975,Africa,North Africa,615,Algeria
1,3,991,973,Africa,Southern Africa,540,Angola
2,8,992,978,Latin America and the Caribbean,South America,160,Argentina
6,17,996,987,Europe,Eastern Europe/post-Soviet Europe,371,Armenia
4,14,994,984,Asia and the Pacific,Oceania,900,Australia
6,18,996,988,Europe,North WestEurope,305,Austria
6,17,996,987,Europe,Eastern Europe/post-Soviet Europe,373,Azerbaijan
5,15,985,985,Middle East and Iran,Middle East and Iran,692,Bahrain
4,12,994,982,Asia and the Pacific,South Asia,771,Bangladesh
6,17,996,987,Europe,Eastern Europe/post-Soviet Europe,370,Belarus
6,18,996,988,Europe,North WestEurope,211,Belgium
1,4,991,974,Africa,West Africa,434,Benin
2,8,992,978,Latin America and the Caribbean,South America,145,Bolivia
6,16,996,986,Europe,East-Central Europe,346,Bosnia and Herzegovina
1,3,991,973,Africa,Southern Africa,571,Botswana
2,8,992,978,Latin America and the Caribbean,South America,140,Brazil
6,16,996,986,Europe,East-Central Europe,355,Bulgaria
1,4,991,974,Africa,West Africa,439,Burkina Faso
1,1,991,971,Africa,East Africa,516,Burundi
4,13,994,983,Asia and the Pacific,South-East Asia,811,Cambodia
1,2,991,972,Africa,Central Africa,471,Cameroon
3,9,979,979,North America,North America,20,Canada
1,2,991,972,Africa,Central Africa,482,Central African Republic
1,2,991,972,Africa,Central Africa,483,Chad
2,8,992,978,Latin America and the Caribbean,South America,155,Chile
4,11,994,981,Asia and the Pacific,East Asia,710,China
2,8,992,978,Latin America and the Caribbean,South America,100,Colombia
2,7,992,977,Latin America and the Caribbean,Central America and Mexico,94,Costa Rica
1,4,991,974,Africa,West Africa,437,Cote d'Ivoire
6,16,996,986,Europe,East-Central Europe,344,Croatia
2,6,992,976,Latin America and the Caribbean,Caribbean,40,Cuba
